time,speed
-6.157130126953125,0.0
0.101212158203125,0.0
0.119508056640625,0.0
0.50481201171875,0.0
6.622661865234375,0.0
12.626284912109377,0.0
13.03889013671875,0.0
13.047491943359375,0.0
18.451096923828125,0.0
18.455583984375,0.0
18.631669921875,0.0
20.397540771484376,0.0
20.402318115234376,0.0
24.627874267578125,0.0
30.62810498046875,0.0
36.63607104492188,0.0
42.62072802734375,0.0
48.62060986328125,0.0
54.6360869140625,0.0
55.04930102539063,35.621442136946555
56.0493125,56.24642945102421
57.04932421875,56.24642945102421
58.04933642578125,13.978990956219667
59.04534765625,16.034028996679027
60.045359375,15.69860250700898
61.045370361328125,17.97876429990065
62.0453828125,18.949189131041685
63.045394287109374,18.949189131041685
64.04540551757813,16.01380804312621
65.04541723632812,42.331869841399325
66.15486157226563,42.331869841399325
67.1548916015625,43.69516616544754
68.154931640625,43.6951661654474
69.15496826171875,41.96314659809666
70.15500756835938,41.96314659809666
71.15505053710937,17.92375481900788
72.155087890625,21.912166730822694
73.15511962890625,16.46821975749357
74.15515600585937,1.715942483890389
75.155197265625,9.46910975878756
76.1552255859375,9.46910975878756
77.15526220703126,11.356543899081553
78.15529443359375,17.816978447366555
79.15531616210937,4.026366878546897
80.1553466796875,0.0
81.155376953125,0.0
82.15540869140625,0.0
83.15543872070313,0.0
84.1554697265625,0.0
85.15550024414063,0.0
86.155544921875,19.10872040062524
87.155560546875,19.10872040062524
88.15559155273438,14.235716680117156
89.15562158203124,14.98611243499601
90.15565234375,17.696982686208067
91.15568188476564,22.788818543195386
92.15571166992189,4.632547104565816
93.1557412109375,14.968407548095191
94.15577221679688,7.777386554018313
95.15580151367188,0.0
96.15583251953124,0.0
97.1558623046875,0.0
98.15589379882812,0.0
99.15592211914064,5.856477974117754
100.1559521484375,5.380236335742775
101.15598120117188,5.397695618285109
102.15601245117188,3.13653674073679
103.15604150390624,19.53226389200663
104.15607104492187,8.123034660316254
105.15610107421875,22.072413409879875
106.15613061523436,19.28349876241611
107.15616064453124,37.9916076932367
108.15619018554688,39.26831067596856
109.15622021484376,38.54414130422006
110.15624951171876,39.473226861465015
111.15627856445312,65.4004296859731
112.15630932617188,44.55881424315042
113.1563388671875,55.64989662610478
114.15636840820312,48.95231353006559
115.15639794921876,45.71713369297425
116.15642797851562,48.59321999125037
117.15645703125,36.8294694754642
118.15648681640624,22.503343733018706
119.15651733398435,32.63466961080752
120.15654663085938,62.93085358384959
121.15657592773438,53.382930794444704
122.15660571289062,58.52887008751703
123.15663403320312,76.90328209797582
124.15666430664062,67.50318866233548
125.15669458007812,49.03650684063947
126.15672338867188,71.57568322075792
127.15675268554688,42.26950767165993
128.15678271484376,28.1280102393209
129.1568115234375,8.273411632179322
130.15684204101564,28.70897995603283
131.15687109375,20.095205000645112
132.15690087890624,2.8481116710085566
133.15692993164063,1.8285114572322563
134.15696020507812,0.0
135.1569892578125,0.0
136.15701831054687,10.133595478014646
137.15704858398436,0.0
138.15707788085936,0.0
139.15710815429688,0.0
140.1571376953125,0.0
141.15716723632812,0.0
142.1571962890625,0.0
143.1572255859375,0.0
144.15725512695312,0.0
145.15728515625,0.0
146.15731372070312,0.0
147.15734423828124,9.22443253033518
148.1573740234375,0.0
149.15740283203124,0.0
150.15743237304687,0.0
151.15746240234375,0.0
152.1574912109375,0.0
153.15752001953126,0.0
154.1575500488281,11.87429847896135
155.15758056640624,2.059978673057566
156.15760986328124,11.18004581871763
157.15763916015624,7.623774039177686
158.15766772460938,0.0
159.15769799804687,2.4335845195160117
160.15772680664062,19.273823638485265
161.15775659179687,21.906697235908247
162.1577861328125,21.040395102083284
163.15781665039063,11.979572741803475
164.157845703125,22.663989552930595
165.157875,23.31984819729503
166.15790405273438,39.13143199400152
167.15793310546874,20.77647750087008
168.15796337890626,20.310539777708396
169.15799365234375,60.11220711115155
170.15802294921875,30.55273851818142
171.15805078125,12.469386497300825
172.15808227539063,10.005935933640908
173.15811083984374,13.502054939774716
174.15814013671874,5.448323364602549
175.15816943359374,20.04761461615002
176.15819946289062,13.649550692702672
177.15822827148438,5.937266914709471
178.15825805664062,8.36491249677369
179.15828833007814,4.661975564759942
180.15831689453125,18.531395349029857
181.1583464355469,23.633371563682868
182.1583764648437,21.85838379383333
183.15840576171877,18.134763137149992
184.1584350585937,10.935015809401207
185.15846533203128,12.386708590803593
186.15849291992188,15.88905413055049
187.1585234375,1.615897778255663
188.1585529785156,3.6611823677843796
189.1585830078125,4.911749265148542
190.15861303710935,78.19854346835633
191.1586416015625,49.02507659314869
192.1586708984375,27.175142831892284
193.1587001953125,20.811632870552803
194.15873022460937,18.059214382369635
195.158759765625,15.279772368212186
196.1587890625,29.693047573506824
197.1588193359375,18.506812972558603
198.15884814453125,28.54261789872578
199.158876953125,22.588354738746407
200.1589072265625,7.320401055888004
201.15893676757813,7.764602270035918
202.15896606445312,5.0115799060419315
203.15899462890624,55.57281567226029
204.15902490234376,42.464584191400945
205.1590549316406,3.826955375451563
206.15908447265625,7.455623798588154
207.15911376953125,60.529319084463374
208.15914282226564,9.324316513950162
209.1591728515625,37.58889579202182
210.1592021484375,35.2209751159145
211.15923168945312,11.175845244432034
212.1592612304688,1.9264205366793592
