time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1776314451687870000,-6.157130126953125,549.5922890472413,-1,-1,-33.43934591984177,522.08,-1,10.379959639112279,30,-70.68730044625842,-1
1776314457946212000,0.101212158203125,549.5922890472413,-1,-1,-33.43934591984177,522.08,-1,10.379959639112279,30,-70.68730044625842,-1
1776314457964508200,0.119508056640625,549.5920525360108,-1,-1,-33.43934591984177,522.08,-1,10.379959639112279,30.000481438332056,-70.68730044625842,-1
1776314458349812000,0.50481201171875,549.6326808966004,-1,-1,-33.43934591984177,523.8179874456727,-1,10.379959639112279,30,-70.68730044625842,-1
1776314464467661800,6.622661865234375,549.7608840589068,-1,-1,-33.439269315333505,523.946190607979,-1,22.554546416731615,30,-70.68703708971374,-1
1776314470471285000,12.626284912109375,550.5633865504346,-1,-1,-33.439242976417,524.7486930995069,-1,22.40729707463793,30,-70.68696939146587,-1
1776314470883890200,13.03889013671875,550.5530048518262,-1,-1,-33.43924427923247,524.7383114008985,-1,22.489506681058305,30.000000595601616,-70.68697013363041,-1
1776314470892492000,13.047491943359375,550.5530048518262,-1,-1,-33.439244279232476,524.7383114008985,-1,22.48952911898116,30.00000059560441,-70.68697013363041,-1
1776314476296097000,18.451096923828125,550.5616928248487,-1,-1,-33.43924206355802,524.746999373921,-1,30.988957683649005,30.00058668938803,-70.68696900206537,-1
1776314476300584000,18.455583984375,550.5616928248487,-1,-1,-33.43924206355803,524.746999373921,-1,30.98897072548014,30.000586689389916,-70.68696900206537,-1
1776314476476670000,18.631669921875,551.16754176157,-1,-1,-33.43923369943787,525.3528483106422,-1,19.929403226256174,30,-70.68691516218863,-1
1776314478242540800,20.397540771484376,551.1570341779518,-1,-1,-33.439234848214795,525.3423407270241,-1,22.3070927707732,30.000087730079233,-70.68691574892506,-1
1776314478247318000,20.402318115234376,551.1570341779518,-1,-1,-33.43923484821479,525.3423407270241,-1,22.307108350415316,30.000087730080907,-70.68691574892506,-1
1776314482472874200,24.627874267578125,551.1951428499727,-1,-1,-33.43920798256679,525.380449399045,-1,21.362855339639648,30,-70.68688958876434,-1
1776314488473105000,30.62810498046875,551.1952045232418,-1,-1,-33.4392039623718,525.3805110723141,-1,19.19515470140209,30,-70.6868889006452,-1
1776314494481071000,36.63607104492188,551.2189555661024,-1,-1,-33.43920972528361,525.4042621151747,-1,19.44270908054887,30,-70.68689787449534,-1
1776314500465728000,42.62072802734375,551.220493036906,-1,-1,-33.439205281561144,525.4057995859782,-1,21.51134177286839,30,-70.68690097043411,-1
1776314506465610000,48.62060986328125,551.2159928530128,-1,-1,-33.43920238100424,525.4012994020851,-1,19.855172601299838,30,-70.6869052470511,-1
1776314512481087000,54.6360869140625,551.2232607358694,-1,-1,-33.43919785653938,525.4085672849417,-1,25.767194267158878,30,-70.68690789975211,-1
1776314512894301000,55.049301025390626,551.8674505286493,3.763895521817184,-1,-33.43917289919109,526.0527570777216,-1,22.747486722170972,28.403418421458976,-70.6869204903868,0.4077681303024292
1776314513894312400,56.0493125,549.7013370525877,2.3441477843162595,-1,-33.439174555031684,523.88664360166,-1,22.327166408060148,7.3316698560622475,-70.68693234728508,0.6438678503036499
1776314514894324200,57.04932421875,549.7205931812002,2.0030264755326272,-1,-33.43917702818053,523.9058997302725,-1,21.543186951458868,7.047588883992881,-70.68693129697985,0.6438678503036499
1776314515894336500,58.04933642578125,549.7011021589007,1.3975125385329654,-1,-33.439216816873355,523.8864087079729,-1,19.11946313931808,6.930681892077695,-70.68695314861628,0.16002123057842255
1776314516890347800,59.04534765625,549.8125484902141,0.9486872528113144,-1,-33.43921976234595,523.9978550392864,-1,15.872466917301503,6.760069612011218,-70.68701002993109,0.1835457980632782
1776314517890359300,60.045359375,549.86441881754,0.6511201876426892,-1,-33.43921372936171,524.0497253666123,-1,13.528216017434815,6.640808082103223,-70.68704901047921,0.17970608174800873
1776314518890370300,61.045370361328125,549.8815730885578,0.5615967917152951,-1,-33.43921544016944,524.0668796376301,-1,11.098701222443097,9.428562028418959,-70.68705312722027,0.20580770075321198
1776314519890382800,62.0453828125,549.9297206106379,0.45926496390362365,86.16493701259886,-33.439208692359124,524.1150271597102,60.497906520015626,11.124892574217625,10.163597717952781,-70.6870525651882,0.21691641211509705
1776314520890394400,63.045394287109374,549.9392191849973,0.4850113012436026,58.666588184851626,-33.439206220771375,524.1245257340696,65.25993881743952,10.814809204541394,10.59090367835638,-70.68704864125166,0.21691641211509705
1776314521890405600,64.04540551757813,549.921633969408,0.5372423135214495,63.67797112542303,-33.43920684529346,524.1069405184803,122.55046726533483,8.105427460466954,7.091050820532744,-70.68705164138272,0.18331432342529297
