timestamp,seconds_elapsed,latitude,longitude,altitude,speed,bearing
2026-04-03 15:20:29.013646000,-0.49335400390625,-33.557443,-70.397611,1071.2836995022371,0.7860671903391775,353.517377993102
2026-04-03 15:20:30.013635000,0.506635009765625,-33.557436,-70.397613,1071.3284908942878,0.8364861462963084,354.01434477241907
2026-04-03 15:20:31.013647600,1.506647705078125,-33.557428,-70.397612,1071.067890131846,0.7997717147377209,358.8815819200823
2026-04-03 15:20:32.013661400,2.506661376953125,-33.557421,-70.397612,1071.513511962257,0.7737864207290726,359.5917225213193
2026-04-03 15:20:33.013675000,3.506675048828125,-33.557416,-70.397615,1068.861040847376,0.7775553273662861,357.0569453672061
2026-04-03 15:20:34.013688800,4.506688720703125,-33.557411,-70.397619,1067.7121420605108,0.7246893922093773,353.6458635066967
2026-04-03 15:20:35.013704400,5.506704345703125,-33.557406,-70.397625,1069.1726524364203,0.6458692351740078,351.6364532046406
2026-04-03 15:20:36.013718500,6.506718505859375,-33.557402,-70.39763,1069.3371253293008,0.5490055033725632,341.95924126169075
2026-04-03 15:20:37.013817300,7.5068173828125,-33.557394,-70.397634,1069.850868578069,0.6750997603421102,341.07227292561123
2026-04-03 15:20:38.013745700,8.50674560546875,-33.557386,-70.39764,1070.0400767335668,0.7908525560069702,340.1495977286229
2026-04-03 15:20:39.013761500,9.506761474609377,-33.557378,-70.397644,1070.006365487352,0.8476070620397171,342.3539380458721
2026-04-03 15:20:40.013774300,10.5067744140625,-33.557372,-70.397649,1070.331801265478,0.6976684250827897,333.3421460057999
2026-04-03 15:20:41.013787400,11.506787353515625,-33.557364,-70.397649,1070.7624191837383,0.774289755135668,339.54869347494883
2026-04-03 15:20:42.013801500,12.506801513671874,-33.557353,-70.397645,1069.6143757048994,0.9829922548633316,344.5512527998289
2026-04-03 15:20:43.013815600,13.506815673828124,-33.557349,-70.397645,1070.821720530279,0.7458839734080865,347.3004866706627
2026-04-03 15:20:44.013830100,14.506830078125,-33.557345,-70.397644,1070.6420359564945,0.5788301290001017,354.4824430234557
2026-04-03 15:20:45.013844500,15.506844482421876,-33.557342,-70.397642,1071.6100856605915,0.3866109460474385,353.5458421405364
2026-04-03 15:20:46.013858300,16.5068583984375,-33.557333,-70.397637,1071.9223894579336,0.4279990073498593,1.464157196280122
2026-04-03 15:20:47.013872000,17.5068720703125,-33.557322,-70.39763,1070.8942581387237,0.7430314707867748,24.939449723475093
2026-04-03 15:20:48.013887000,18.506886962890626,-33.5573,-70.397624,1071.3856731886044,1.324935882131646,15.012471794482355
2026-04-03 15:20:49.013900800,19.50690087890625,-33.557291,-70.397619,1071.5320064453408,1.2563939559830182,14.570532529685936
2026-04-03 15:20:50.013914000,20.5069140625,-33.557283,-70.397613,1071.9731594324112,1.073644811770565,20.24451162133825
2026-04-03 15:20:51.013929500,21.506929443359372,-33.557271,-70.397602,1072.178119388409,1.2433312899073428,26.098727307102607
2026-04-03 15:20:52.013942800,22.50694287109375,-33.55726,-70.397594,1072.2500974927098,1.2939006243339726,31.44570083100955
2026-04-03 15:20:53.013957000,23.50695703125,-33.557254,-70.39759,1071.472048739903,0.9625453746307568,37.07704517239949
2026-04-03 15:20:54.013971000,24.506970947265625,-33.557244,-70.397583,1072.5987288113683,0.9973257074118816,42.73177047122515
2026-04-03 15:20:55.013985500,25.506985595703124,-33.557237,-70.397577,1072.9528234777972,0.8628139088789594,41.06562308828625
2026-04-03 15:20:56.013999400,26.506999267578124,-33.557228,-70.397568,1072.7371482606975,1.0068487637596697,36.72757474923701
2026-04-03 15:20:57.014014500,27.507014404296875,-33.557221,-70.397561,1072.7027007061988,0.9080651099977513,39.368070979696746
2026-04-03 15:20:58.014026800,28.50702685546875,-33.557215,-70.397555,1073.1806427268311,0.9397547800703452,37.20229615556741
2026-04-03 15:20:59.014041300,29.507041259765625,-33.557206,-70.397546,1073.684149852954,1.050114974394137,39.211328143416445
2026-04-03 15:21:00.014054400,30.507054443359376,-33.557195,-70.397541,1074.1282355654985,1.095973170672317,35.06344181569828
2026-04-03 15:21:01.014084400,31.50708447265625,-33.557183,-70.397537,1073.8849818389865,1.1653769309930933,25.33939920248099
2026-04-03 15:21:02.014083300,32.50708325195313,-33.557177,-70.397536,1073.6001022132114,0.959760004734631,25.04646585413394
2026-04-03 15:21:03.014097400,33.507097412109374,-33.55717,-70.39753,1074.4958900688216,0.8487645709208944,29.84536274382624
2026-04-03 15:21:04.014112000,34.50711206054687,-33.557164,-70.397522,1073.9658060111103,0.965368960955303,34.42552007671256
2026-04-03 15:21:05.014125300,35.507125244140624,-33.557153,-70.397517,1073.9434615317732,1.1050432189626835,31.10223626449421
2026-04-03 15:21:06.014140200,36.50714013671875,-33.557148,-70.397513,1073.8983048563823,0.8881477819532232,33.68019439138666
2026-04-03 15:21:07.014153500,37.50715356445313,-33.557137,-70.397507,1074.2439579684287,1.0816606457829414,29.92825100187877
2026-04-03 15:21:08.014167300,38.50716723632812,-33.557129,-70.39751,1075.3057876462117,0.9943098615212044,22.459880572471715
2026-04-03 15:21:09.014182000,39.50718188476562,-33.55712,-70.397509,1075.6026293486357,1.0071526885234297,18.07305569108044
2026-04-03 15:21:10.014196000,40.50719604492188,-33.557112,-70.397517,1075.2965762009844,0.8809615691271797,7.902608037453859
2026-04-03 15:21:11.014209500,41.50720947265625,-33.557112,-70.397524,1075.7406234340742,0.5202126077842125,356.7322931268058
