time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1775229629013646000,-0.49335400390625,1071.2836995022371,0.8662661809979795,87.78671478832567,-33.55744336022608,1042.8939041988924,353.517377993102,4.732527902325796,3,-70.39761071415082,0.7860671903391775
1775229630013635000,0.506635009765625,1071.3284908942878,1.036394956280405,96.30548394159753,-33.55743613604203,1042.938695590943,354.01434477241907,4.709011148804672,3,-70.39761260716229,0.8364861462963084
1775229631013647600,1.506647705078125,1071.067890131846,0.8400517960212102,79.37107204618383,-33.55742847476582,1042.6780948285013,358.8815819200823,4.925801575313264,3,-70.39761190175685,0.7997717147377209
1775229632013661400,2.506661376953125,1071.5135119622573,1.079597260862987,106.41433653774065,-33.55742094611871,1043.1237166589126,359.5917225213193,4.917695384586935,3,-70.39761245958586,0.7737864207290726
1775229633013675000,3.506675048828125,1068.861040847376,1.3859080368918835,33.83776519319596,-33.557415742606054,1040.4712455440313,357.0569453672061,4.874914295494812,3,-70.39761514626412,0.7775553273662861
1775229634013688800,4.506688720703125,1067.7121420605108,1.2908971851518838,30.480636486959813,-33.55741094420612,1039.322346757166,353.6458635066967,4.761962817243861,3,-70.39761943335398,0.7246893922093773
1775229635013704400,5.506704345703125,1069.1726524364203,1.3061999914359785,91.84499107925696,-33.55740610082136,1040.7828571330756,351.6364532046406,4.838045628084086,3,-70.39762465600744,0.6458692351740078
1775229636013718500,6.506718505859375,1069.3371253293008,1.276501145209461,129.51726937280048,-33.557401590598694,1040.947330025956,341.95924126169075,4.826723102004774,3,-70.39763032422537,0.5490055033725632
1775229637013817300,7.5068173828125,1069.850868578069,1.1152947982092267,133.71777081629745,-33.55739385062801,1041.4610732747242,341.07227292561123,4.716915746467444,3,-70.3976335904671,0.6750997603421102
1775229638013745700,8.50674560546875,1070.0400767335668,1.1066313843297695,113.36908717863184,-33.55738570785983,1041.650281430222,340.1495977286229,4.687943021028418,3,-70.397639610411,0.7908525560069702
1775229639013761500,9.506761474609375,1070.006365487352,1.078782913857934,101.29577489515994,-33.55737799768535,1041.6165701840073,342.3539380458721,4.665106513601969,3,-70.39764396430114,0.8476070620397171
